Payout ID,Amount,Customer,Date,Status
po_1000,180.00,Northwind LLC,2026-07-02,paid
po_1001,240.00,Globex,2026-07-04,paid
po_1002,150.00,Initech,2026-07-06,paid
po_1003,300.00,Umbra Studios,2026-07-08,paid
po_1004,210.00,Pinewood Media,2026-07-10,paid
po_1005,165.00,Crestline Co,2026-07-12,paid
po_1006,275.00,Vanta Group,2026-07-14,paid
po_1007,190.00,Harborview,2026-07-16,paid
po_1008,225.00,Lumen Labs,2026-07-18,paid
po_1009,140.00,Riverbend,2026-07-20,paid
po_1010,310.00,Sterling & Co,2026-07-22,paid
po_1011,205.00,Meridian,2026-07-24,paid
po_1012,175.00,Oakcrest,2026-07-26,paid
po_1013,260.00,Solstice Agency,2026-07-28,paid
po_1014,195.00,Bright Harbor,2026-07-30,paid
po_1015,185.00,Northwind LLC,2026-08-01,paid
po_1016,230.00,Globex,2026-08-03,paid
po_1017,160.00,Initech,2026-08-05,paid
po_1018,290.00,Umbra Studios,2026-08-07,paid
po_1019,215.00,Pinewood Media,2026-08-09,paid
po_1020,170.00,Crestline Co,2026-08-11,paid
po_1021,250.00,Vanta Group,2026-08-13,paid
po_1022,200.00,Harborview,2026-08-15,paid
po_1023,145.00,Lumen Labs,2026-08-17,paid
po_1024,305.00,Riverbend,2026-08-19,paid
po_1025,210.00,Sterling & Co,2026-08-21,paid
po_1026,180.00,Meridian,2026-08-23,paid
po_1027,265.00,Oakcrest,2026-08-25,paid
po_1028,195.00,Solstice Agency,2026-08-27,paid
po_1029,155.00,Bright Harbor,2026-08-29,paid
po_1030,285.00,Northwind LLC,2026-08-31,paid
po_1031,220.00,Globex,2026-09-02,paid
po_1032,175.00,Initech,2026-09-04,paid
po_1033,255.00,Umbra Studios,2026-09-06,paid
po_1034,205.00,Pinewood Media,2026-09-08,paid
po_1035,165.00,Crestline Co,2026-09-10,paid
po_1036,295.00,Vanta Group,2026-09-12,paid
po_1037,210.00,Harborview,2026-09-14,paid
po_1038,185.00,Lumen Labs,2026-09-16,paid
po_1039,260.00,Riverbend,2026-09-18,paid
po_1040,200.00,Sterling & Co,2026-09-20,paid
po_2099,1800.00,Acme Corp,2026-09-29,paid
po_2098,1200.00,Bolt Inc.,2026-08-14,paid
